date,content,lat,lng,city,population,sentiment
2021-07-15 17:45:02+00:00,@4lisaguerrero @SUBWAY I love tuna fish. I’ll gladly help you eat!,34.095286,-118.127014,Alhambra,83089,0.5625
2021-07-15 16:55:06+00:00,"I have now done TWO investigations into the @SUBWAY tuna sandwich controversy. Both times we found that they contained real tuna. Meanwhile, I have eaten far too many tuna sandwiches this year in the course of duty. 😆 https://t.co/WqUxEVT8pW",34.095286,-118.127014,Alhambra,83089,0.26666666666666666
2021-07-15 15:10:50+00:00,@roketeuss @SUBWAY 💀💀,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-15 02:54:48+00:00,🗣️Y'all still eating @SUBWAY  after they told us that that ain't tuna huh⁉️ Wake TF up and eat more fruit and stop eating that human being‼️😂😂😂😂😂😂,34.095286,-118.127014,Alhambra,83089,0.25
2021-07-14 21:42:57+00:00,"Okay scientists:  Is @Subway's claim true or just more malarky? ""Once tuna is cooked, its DNA becomes denatured.""",34.095286,-118.127014,Alhambra,83089,0.45
2021-07-14 21:13:08+00:00,@JJWatt @SUBWAY I#,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 19:52:42+00:00,@SUBWAY 🤮,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 17:31:15+00:00,"@SUBWAY The only thing new here is spicy brown mustard, roast beef, and grilled chicken have all been discontinued. What the heck!?",34.095286,-118.127014,Alhambra,83089,-0.20454545454545456
2021-07-14 04:29:36+00:00,@glittercorvette @SUBWAY why did you hit my bestie????,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 03:44:44+00:00,@SUBWAY https://t.co/CH32Vc3dci,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 03:33:52+00:00,"@SUBWAY How about that ""tuna""?",34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 03:26:58+00:00,@VIC_20 @SUBWAY Is that the dude who was a sandwich guy and then a pedo or something? Man they have not had a great ride with their PR efforts. 🤣,34.095286,-118.127014,Alhambra,83089,0.8
2021-07-14 03:26:00+00:00,@annmsutton @SUBWAY https://t.co/zcyFhLRqap,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 03:25:31+00:00,@SUBWAY Don’t mention: Tuna?,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 03:18:41+00:00,@CaughtOffBase @SUBWAY It has already been ruined for me.,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 02:57:19+00:00,@SUBWAY I was sick for a month after my last (ever) subway visit.,34.095286,-118.127014,Alhambra,83089,-0.35714285714285715
2021-07-14 02:02:05+00:00,@SUBWAY What’s In ur tuna,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 01:52:13+00:00,"@SUBWAY First Jared, then no more 5 dollar foot longs, then the tuna? Dude take the L and call it a day.",34.095286,-118.127014,Alhambra,83089,0.0
2021-07-14 01:34:34+00:00,@Channel8ABC @BurgerKing @kfc @McDonalds @Wendys @Arbys @ChoiceHotels @BestWestern @WyndhamHotels @HiltonHotels @Applebees @bostonmarket @tacobell @motel6 @Starbucks @peetscoffee @PandaExpress @SUBWAY @DairyQueen @Cheesecake - No Limitations - Better Employer / Employee Relationship - Much Better Service,34.095286,-118.127014,Alhambra,83089,0.5
2021-07-14 00:46:32+00:00,@greasyspoonnews @SUBWAY That's because it legitimately had shoe rubber in it. Goes perfect with the mystery meat they called tuna in the tuna fish sandwiches lol,34.095286,-118.127014,Alhambra,83089,0.9
2021-07-14 00:07:23+00:00,@NCSGI @SUBWAY None of your Subways are participating and they’re turning people away. Y’all really need to get your shit together 🤷🏽‍♂️,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 23:44:49+00:00,@SUBWAY Real bread,34.095286,-118.127014,Alhambra,83089,0.2
2021-07-13 23:42:28+00:00,@SUBWAY Still using rubber in your dough? I only ask because you guys don't even use tuna fish in your tuna fish salads. lol,34.095286,-118.127014,Alhambra,83089,0.4
2021-07-13 23:28:57+00:00,"did we find out what the ""tuna"" is @SUBWAY, yet?",34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 22:57:16+00:00,@joaquincartier @TomBrady @SUBWAY @tonyhawk OKAY? doesn't affect you so what? Got it,34.095286,-118.127014,Alhambra,83089,0.5
2021-07-13 22:38:57+00:00,@JaneDoe90307594 @SUBWAY https://t.co/xOoQfq9HhD,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 22:17:51+00:00,@SUBWAY The bunch they chose: https://t.co/5UDHjY2Z5H,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 20:18:27+00:00,"News. Talking #COVID19, @virgingalactic, @SUBWAY &amp; more… —&gt; https://t.co/rCDwn4AmXo 📺 https://t.co/niqHXDWik6",34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 20:15:06+00:00,"@TomBrady @SUBWAY @tonyhawk TOM BRADY BOUGHT A YACHT WITH LOANS MEANT FOR THE NEEDY.
BUZZ OFF",34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 19:58:52+00:00,@SUBWAY Shits gonna be stale anyways,34.095286,-118.127014,Alhambra,83089,-0.5
2021-07-13 19:50:17+00:00,@NocabLucitcat @SUBWAY https://t.co/uoFU37fnAj,34.095286,-118.127014,Alhambra,83089,0.0
2021-07-13 19:33:09+00:00,@SUBWAY Didn’t your spokesperson get convicted for child porn?,34.095286,-118.127014,Alhambra,83089,0.0
